SEKOLAH KEBANGSAAN SANGGANG SEBERANG,CBA7016,null
SEKOLAH KEBANGSAAN BINTANG,CBA7017,null
SEKOLAH KEBANGSAAN KUALA TEKAL,CBA7022,null
SEKOLAH KEBANGSAAN JENDERAK,CBA7025,null
SEKOLAH KEBANGSAAN KUALA MAI BHARU,CBA7029,null
SEKOLAH KEBANGSAAN KAMPUNG TENGAH,CBA7034,null
SEKOLAH KEBANGSAAN BELENGU,CBA7035,null
SEKOLAH KEBANGSAAN LEBAK,CBA7037,null
SEKOLAH KEBANGSAAN DESA BAKTI,CBA7059,null
SEKOLAH KEBANGSAAN (FELDA) BUKIT DAMAR,CBA7141,null
SEKOLAH KEBANGSAAN PENDERAS(JHEOA),CBA7151,null
SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI KAWANG,CBC7088,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG EDENSOR,CBD7090,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG TEKAL,CBD7092,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG BEE YONG,CBD7093,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SEMANTAN,CBD7094,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG YEOW CHENG LUAN,CBD7095,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG LANCHANG,CBD7096,null
SEKOLAH MENENGAH KEBANGSAAN TEMERLOH JAYA,CEA7069,null
SEKOLAH MENENGAH KEBANGSAAN ABU BAKAR,CEB7068,null
SEKOLAH MENENGAH KEBANGSAAN KUALA KRAU,CEA7064,null
SEKOLAH KEBANGSAAN PAYA ARA,CBA7014,null
SEKOLAH KEBANGSAAN TELOK SENTANG,CBA7018,null
SEKOLAH KEBANGSAAN PAYA TARAM,CBA7019,null
SEKOLAH KEBANGSAAN KERDAU,CBA7020,null
SEKOLAH KEBANGSAAN LIPAT KAJANG,CBA7021,null
SEKOLAH KEBANGSAAN PULAU PASIR MANDI,CBA7023,null
SEKOLAH KEBANGSAAN BATU SAWAR,CBA7024,null
SEKOLAH KEBANGSAAN KUALA KRAU,CBA7027,null
SEKOLAH KEBANGSAAN BANDAR TEMERLOH,CBA7032,null
SEKOLAH KEBANGSAAN PAYA PULAI,CBA7046,null
SEKOLAH KEBANGSAAN (FELDA) JENGKA 23,CBA7144,null
SEKOLAH KEBANGSAAN SERI TUALANG,CBA7152,null
SEKOLAH KEBANGSAAN SUNGAI GAU,CBA7153,null
SEKOLAH KEBANGSAAN MENTAKAB ( CHATIN ),CBA7155,null
SEKOLAH KEBANGSAAN TANJUNG BATU,CBA7156,null
SEKOLAH KEBANGSAAN BUKIT CERMIN,CBA7157,null
SEKOLAH MENENGAH KEBANGSAAN TELUK SENTANG,CEA7071,null
