SEKOLAH KEBANGSAAN TASEK,ABA7005
SEKOLAH KEBANGSAAN KLIAN INTAN,ABA7006
SEKOLAH KEBANGSAAN AYER PANAS,ABA7007
SEKOLAH KEBANGSAAN LENGGONG,ABA7008
SEKOLAH KEBANGSAAN GELOK,ABA7009
SEKOLAH KEBANGSAAN SUMPITAN,ABA7010
SEKOLAH KEBANGSAAN BUKIT SAPI,ABA7011
SEKOLAH KEBANGSAAN TEMELONG,ABA7012
SEKOLAH KEBANGSAAN CHEPOR,ABA7013
SEKOLAH KEBANGSAAN BANGGOL BELIMBING,ABA7014
SEKOLAH KEBANGSAAN LUBOK KAWAH,ABA7015
SEKOLAH KEBANGSAAN LUAT,ABA7016
SEKOLAH KEBANGSAAN BENG,ABA7017
SEKOLAH KEBANGSAAN RABAN,ABA7018
SEKOLAH KEBANGSAAN SRI ADIKA RAJA,ABA7019
SEKOLAH KEBANGSAAN TAN SRI GHAZALI JAWI,ABA7020
SEKOLAH KEBANGSAAN SERI TAWAI,ABA7021
SEKOLAH KEBANGSAAN KENAYAT,ABA7022
SEKOLAH KEBANGSAAN KENERING,ABA7023
SEKOLAH KEBANGSAAN KERUNAI,ABA7024
SEKOLAH KEBANGSAAN PLANG,ABA7025
SEKOLAH KEBANGSAAN KAMPONG LALANG,ABA7026
SEKOLAH KEBANGSAAN RKT BERSIA,ABA7027
SEKOLAH KEBANGSAAN BASIA LAMA,ABA7028
SEKOLAH KEBANGSAAN BONGOR,ABA7029
SEKOLAH KEBANGSAAN GANDA TEMENGOR,ABA7030
SEKOLAH KEBANGSAAN (FELDA) PAPULUT,ABA7031
SEKOLAH KEBANGSAAN (FELDA) LAWIN UTARA,ABA7032
SEKOLAH KEBANGSAAN (FELDA) LAWIN SELATAN,ABA7033
SEKOLAH KEBANGSAAN PAHIT,ABA7034
SEKOLAH KEBANGSAAN (FELDA) LEPANG NENERING,ABA7035
SEKOLAH KEBANGSAAN RPS POS KEMAR,ABA7036
SEKOLAH KEBANGSAAN RPS BANUN,ABA7037
SEKOLAH KEBANGSAAN RPS DALA,ABA7038
SEKOLAH KEBANGSAAN SUNGAI TIANG,ABA7039
SEKOLAH KEBANGSAAN BATU 4,ABA7040
SEKOLAH KEBANGSAAN SUNGAI GALAH,ABA8201
SEKOLAH KEBANGSAAN BALUN BIDAI,ABA8202
SEKOLAH KEBANGSAAN TEPUS,ABA8203
SEKOLAH KEBANGSAAN TANJONG BELANJA,ABA8204
SEKOLAH KEBANGSAAN SIMPANG TIGA,ABA8205
SEKOLAH KEBANGSAAN BELANJA,ABA8206
SEKOLAH KEBANGSAAN PASIR GAJAH,ABA8207
SEKOLAH KEBANGSAAN LAYANG-LAYANG KIRI,ABA8208
SEKOLAH KEBANGSAAN PULAU PADANG,ABA8209
SEKOLAH KEBANGSAAN BOTA KIRI,ABA8210
SEKOLAH KEBANGSAAN SERIKAYA,ABA8211
SEKOLAH KEBANGSAAN BAKONG,ABA8212
SEKOLAH KEBANGSAAN LAMBOR KIRI,ABA8213
